wals code	name	value	description	latitude	longitude	genus	family	area
mab	Maba	1	No case marking	13.75	20.8333333333	Maban	Maban	Morphology
mal	Malagasy	1	No case marking	-20.0	47.0	Barito	Austronesian	Morphology
mnd	Mandarin	1	No case marking	34.0	110.0	Chinese	Sino-Tibetan	Morphology
myi	Mangarrayi	2	Core cases only	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	Morphology
mao	Maori	1	No case marking	-40.0	176.0	Oceanic	Austronesian	Morphology
map	Mapudungun	1	No case marking	-38.0	-72.0	Araucanian	Araucanian	Morphology
mku	Maranungku	1	No case marking	-13.6666666667	130.0	Wagaydy	Western Daly	Morphology
mar	Maricopa	4	No syncretism	33.1666666667	-113.166666667	Yuman	Hokan	Morphology
mrd	Marind	1	No case marking	-7.83333333333	140.166666667	Marind-Yaqay	Trans-New Guinea	Morphology
mrt	Martuthunira	3	Core and non-core	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Morphology
mau	Maung	1	No case marking	-11.9166666667	133.5	Iwaidjan	Iwaidjan	Morphology
may	Maybrat	1	No case marking	-1.33333333333	132.5	Maybrat	Maybrat	Morphology
mei	Meithei	4	No syncretism	24.75	94.0	Manipuri	Sino-Tibetan	Morphology
mss	Miwok (Southern Sierra)	4	No syncretism	37.5	-120.0	Miwok	Penutian	Morphology
mxc	Mixtec (Chalcatongo)	1	No case marking	17.05	-97.5833333333	Mixtec	Oto-Manguean	Morphology
mun	Mundari	1	No case marking	23.0	84.6666666667	Munda	Austro-Asiatic	Morphology
mrl	Murle	2	Core cases only	6.5	33.5	South Surmic	Eastern Sudanic	Morphology
nht	Nahuatl (Tetelcingo)	1	No case marking	19.6666666667	-99.0	Aztecan	Uto-Aztecan	Morphology
kho	Nama	1	No case marking	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Morphology
nav	Navajo	1	No case marking	36.1666666667	-108.0	Athapaskan	Na-Dene	Morphology
ndy	Ndyuka	1	No case marking	4.5	-54.5	Creoles and Pidgins	other	Morphology
ntu	Nenets	3	Core and non-core	70.0	76.0	Samoyedic	Uralic	Morphology
nez	Nez Perce	4	No syncretism	46.0	-116.0	Sahaptian	Penutian	Morphology
nti	Ngiti	1	No case marking	1.33333333333	30.25	Lendu	Central Sudanic	Morphology
ngi	Ngiyambaa	3	Core and non-core	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Morphology
niv	Nivkh	4	No syncretism	53.3333333333	142.0	Nivkh	Nivkh	Morphology
nko	Nkore-Kiga	1	No case marking	-0.916666666667	29.8333333333	Bantu	Niger-Congo	Morphology
nbd	Nubian (Dongolese)	4	No syncretism	18.25	30.75	Nubian	Eastern Sudanic	Morphology
nug	Nunggubuyu	4	No syncretism	-13.75	135.666666667	Nunggubuyu	Gunwinyguan	Morphology
orh	Oromo (Harar)	2	Core cases only	9.0	42.0	Lowland East Cushitic	Afro-Asiatic	Morphology
